id,Transaction_Date,Store_ID,Prod_Num,Sale_Amount
188,2022-01-02,736,105347-IT,837.52
189,2022-01-02,736,105280-IT,254.90
190,2022-01-02,736,105319-IT,30.16
191,2022-01-02,736,105462-IT,109.22
192,2022-01-02,736,105266-IT,367.08
193,2022-01-02,736,105488-T,164.20
194,2022-01-02,736,105379-A,28.00
195,2022-01-02,736,105489-S,2.40
196,2022-01-02,736,105490-B,28.92
197,2022-01-02,736,105491-T,253.40
198,2022-01-02,736,105492-S,17.70
199,2022-01-02,736,105493-B,225.45
200,2022-01-02,736,105494-T,157.28
201,2022-01-02,736,105478-B,17.70
202,2022-01-02,736,105495-A,13.00
203,2022-01-02,736,105382-T,67.85
204,2022-01-02,736,105496-M,28.92
205,2022-01-02,736,105469-M,14.60
206,2022-01-02,736,105497-M,61.14
207,2022-01-02,736,105498-M,39.72
208,2022-01-02,736,105480-M,12.00
209,2022-01-02,736,105499-M,12.30
210,2022-01-02,736,105500-S,20.36
211,2022-01-02,736,105378-T,155.60
212,2022-01-02,736,105371-T,216.90
213,2022-01-02,736,105501-A,52.40
214,2022-01-02,736,105502-B,23.44
215,2022-01-02,736,105503-S,9.45
216,2022-01-02,736,105468-S,17.70
217,2022-01-02,736,105504-A,32.64
218,2022-01-02,736,105505-B,25.45
219,2022-01-02,736,105506-B,17.70
220,2022-01-02,736,105507-A,40.55
221,2022-01-02,736,105508-S,9.09
222,2022-01-02,737,105373-T,88.42
223,2022-01-02,801,105262-IT,603.50
224,2022-01-02,801,105278-IT,272.24
225,2022-01-02,801,105509-A,12.00
226,2022-01-02,802,105257-IT,715.00
227,2022-01-02,802,105510-T,166.00
228,2022-01-02,803,105284-IT,207.85
229,2022-01-02,804,105338-IT,1317.70
230,2022-01-02,804,105346-IT,318.96
231,2022-01-02,805,105511-M,24.33
232,2022-01-02,807,105343-IT,1257.12
233,2022-01-02,807,105512-B,28.92
234,2022-01-02,808,105513-A,57.12
235,2022-01-02,810,105306-IT,76.36
236,2022-01-02,811,105514-T,263.88
237,2022-01-02,811,105371-T,216.90
238,2022-01-02,815,105515-A,26.52
239,2022-01-02,816,105516-M,18.00
240,2022-01-02,817,105457-IT,29.81
241,2022-01-02,817,105365-T,221.48
242,2022-01-02,818,105517-S,7.85
243,2022-01-02,819,105313-IT,68.88
244,2022-01-02,820,105463-IT,265.07
245,2022-01-02,821,105518-M,20.36
246,2022-01-02,822,105519-A,44.50
247,2022-01-02,823,105439-M,48.00
248,2022-01-02,824,105520-S,10.10
249,2022-01-02,825,105382-T,67.85
250,2022-01-02,828,105312-IT,68.88
251,2022-01-02,828,105348-IT,29.81
252,2022-01-02,829,105521-M,24.20
253,2022-01-02,830,105461-IT,132.90
254,2022-01-02,830,105522-A,7.00
255,2022-01-02,832,105523-M,12.15
256,2022-01-02,833,105389-S,12.40
257,2022-01-02,833,105524-M,44.00
258,2022-01-02,835,105519-A,44.50
259,2022-01-02,835,105384-A,23.44
260,2022-01-02,836,105282-IT,237.28
261,2022-01-02,836,105525-T,204.58
262,2022-01-02,836,105421-S,9.95
263,2022-01-02,841,105358-A,14.00
264,2022-01-02,843,105526-S,19.36
265,2022-01-02,843,105527-T,228.30
266,2022-01-02,844,105265-IT,375.24
267,2022-01-02,847,105346-IT,318.96
268,2022-01-02,847,105528-A,24.28
269,2022-01-02,847,105478-B,17.70
270,2022-01-02,848,105356-S,13.13
271,2022-01-02,849,105529-M,16.60
272,2022-01-02,851,105382-T,67.85
273,2022-01-02,865,105476-M,6.00
274,2022-01-02,866,105274-IT,296.60
275,2022-01-02,867,105477-S,7.85
276,2022-01-02,868,105478-B,17.70
277,2022-01-02,870,105479-A,20.36
278,2022-01-02,872,105480-M,12.00
279,2022-01-02,872,105481-T,74.50
280,2022-01-02,901,105487-S,9.95
281,2022-01-02,902,105431-M,24.28
282,2022-01-02,902,105530-B,20.36
283,2022-01-02,904,105531-A,57.70
284,2022-01-02,904,105532-A,51.96
285,2022-01-02,905,105302-IT,77.36
286,2022-01-02,905,105522-A,7.00
287,2022-01-02,907,105533-M,26.40
288,2022-01-02,908,105534-T,230.70
289,2022-01-02,908,105535-A,66.00
290,2022-01-02,908,105536-M,40.55
291,2022-01-02,909,105535-A,66.00
292,2022-01-02,910,105537-B,24.28
293,2022-01-02,911,105257-IT,715.00
294,2022-01-03,701,105325-IT,1717.70
295,2022-01-03,703,105423-M,40.55
296,2022-01-03,705,105333-IT,1292.00
297,2022-01-03,705,105542-A,12.30
298,2022-01-03,706,105325-IT,1717.70
299,2022-01-03,706,105459-IT,393.21
300,2022-01-03,709,105348-IT,29.81
301,2022-01-03,709,105543-S,2.88
302,2022-01-03,710,105390-A,8.00
303,2022-01-03,712,105387-A,27.52
304,2022-01-03,713,105389-S,12.40
305,2022-01-03,716,105544-T,214.32
306,2022-01-03,716,105545-T,157.28
307,2022-01-03,718,105375-S,6.85
308,2022-01-03,719,105356-S,13.13
309,2022-01-03,720,105363-M,19.48
310,2022-01-03,721,105552-S,7.85
311,2022-01-03,722,105552-S,7.85
312,2022-01-03,723,105447-M,50.96
313,2022-01-03,724,105553-T,134.80
314,2022-01-03,724,105554-T,232.40
315,2022-01-03,725,105512-B,28.92
316,2022-01-03,727,105525-T,204.58
317,2022-01-03,727,105555-M,33.10
318,2022-01-03,727,105511-M,24.33
319,2022-01-03,728,105301-IT,77.81
320,2022-01-03,728,105556-A,39.75
321,2022-01-03,728,105557-S,6.85
322,2022-01-03,729,105408-S,4.32
323,2022-01-03,730,105307-IT,75.88
324,2022-01-03,730,105490-B,28.92
325,2022-01-03,731,105294-IT,108.33
326,2022-01-03,731,105558-M,8.00
327,2022-01-03,732,105465-A,23.44
328,2022-01-03,732,105559-S,10.16
329,2022-01-03,733,105400-B,76.40
330,2022-01-03,733,105560-M,8.00
331,2022-01-03,733,105358-A,14.00
332,2022-01-03,735,105561-S,20.36
333,2022-01-03,736,105253-IT,801.88
334,2022-01-03,736,105344-IT,265.07
335,2022-01-03,736,105459-IT,393.21
336,2022-01-03,736,105538-IT,76.36
337,2022-01-03,736,105324-IT,1294.30
338,2022-01-03,736,105330-IT,1376.44
339,2022-01-03,736,105461-IT,132.90
340,2022-01-03,736,105270-IT,336.48
341,2022-01-03,736,105539-IT,30.62
342,2022-01-03,736,105269-IT,343.97
343,2022-01-03,736,105362-B,17.70
344,2022-01-03,736,105553-T,134.80
345,2022-01-03,736,105559-S,10.16
346,2022-01-03,736,105562-B,25.45
347,2022-01-03,736,105489-S,2.40
348,2022-01-03,736,105492-S,17.70
349,2022-01-03,736,105394-A,50.96
350,2022-01-03,736,105563-T,171.90
351,2022-01-03,736,105357-T,195.30
352,2022-01-03,736,105564-S,12.12
353,2022-01-03,736,105565-T,182.25
354,2022-01-03,736,105566-A,39.72
355,2022-01-03,736,105567-B,26.52
356,2022-01-03,736,105469-M,14.60
357,2022-01-03,736,105568-M,24.00
358,2022-01-03,736,105569-M,6.00
359,2022-01-03,736,105440-M,57.70
360,2022-01-03,736,105386-M,25.00
361,2022-01-03,736,105570-M,36.15
362,2022-01-03,736,105571-M,52.40
363,2022-01-03,736,105521-M,24.20
364,2022-01-03,736,105558-M,8.00
365,2022-01-03,736,105431-M,24.28
366,2022-01-03,736,105572-B,24.28
367,2022-01-03,736,105573-B,76.52
368,2022-01-03,736,105375-S,6.85
369,2022-01-03,736,105547-A,24.00
370,2022-01-03,736,105574-A,13.13
371,2022-01-03,736,105575-T,165.50
372,2022-01-03,736,105576-S,2.40
373,2022-01-03,736,105577-T,215.77
374,2022-01-03,736,105409-A,36.15
375,2022-01-03,736,105411-S,20.36
376,2022-01-03,736,105578-S,9.09
377,2022-01-03,736,105579-B,74.28
378,2022-01-03,736,105580-B,28.36
379,2022-01-03,736,105581-B,12.70
380,2022-01-03,736,105582-B,45.45
381,2022-01-03,736,105583-B,24.20
382,2022-01-03,736,105584-B,24.28
383,2022-01-03,736,105585-B,74.28
384,2022-01-03,736,105586-A,8.00
385,2022-01-03,737,105369-T,228.30
386,2022-01-03,738,105316-IT,33.13
387,2022-01-03,738,105587-S,6.02
388,2022-01-03,801,105398-A,52.96
389,2022-01-03,801,105588-S,9.45
390,2022-01-03,802,105408-S,4.32
391,2022-01-03,803,105589-M,23.44
392,2022-01-03,803,105590-T,187.44
393,2022-01-03,804,105591-S,9.95
394,2022-01-03,805,105540-IT,69.11
395,2022-01-03,806,105336-IT,1317.70
396,2022-01-03,806,105292-IT,113.82
397,2022-01-03,806,105298-IT,102.09
398,2022-01-03,807,105592-M,26.52
399,2022-01-03,808,105593-S,20.36
400,2022-01-03,809,105261-IT,622.32
401,2022-01-03,809,105594-T,144.40
402,2022-01-03,809,105429-T,71.80
403,2022-01-03,810,105286-IT,126.18
404,2022-01-03,810,105588-S,9.45
405,2022-01-03,811,105595-S,12.40
406,2022-01-03,812,105596-S,12.88
407,2022-01-03,812,105440-M,57.70
408,2022-01-03,814,105282-IT,237.28
409,2022-01-03,814,105250-IT,837.28
410,2022-01-03,815,105597-S,14.32
411,2022-01-03,816,105516-M,18.00
412,2022-01-03,817,105510-T,166.00
413,2022-01-03,817,105382-T,67.85
414,2022-01-03,817,105592-M,26.52
415,2022-01-03,818,105598-T,206.16
416,2022-01-03,818,105358-A,14.00
417,2022-01-03,820,105457-IT,29.81
418,2022-01-03,821,105570-M,36.15
419,2022-01-03,823,105599-S,8.36
420,2022-01-03,824,105375-S,6.85
421,2022-01-03,824,105600-S,9.95
422,2022-01-03,825,105601-M,112.00
423,2022-01-03,828,105602-S,8.45
424,2022-01-03,830,105328-IT,1250.96
425,2022-01-03,830,105423-M,40.55
426,2022-01-03,830,105603-T,178.80
427,2022-01-03,831,105348-IT,29.81
428,2022-01-03,832,105541-IT,68.88
429,2022-01-03,832,105604-T,122.21
430,2022-01-03,834,105276-IT,281.43
431,2022-01-03,834,105397-S,5.24
432,2022-01-03,835,105409-A,36.15
433,2022-01-03,836,105605-M,24.28
434,2022-01-03,838,105256-IT,752.82
435,2022-01-03,838,105585-B,74.28
436,2022-01-03,842,105606-M,27.52
437,2022-01-03,842,105607-M,12.30
438,2022-01-03,842,105608-A,12.15
439,2022-01-03,843,105609-S,20.36
440,2022-01-03,844,105610-A,10.10
441,2022-01-03,845,105611-S,2.40
442,2022-01-03,849,105612-B,74.28
443,2022-01-03,849,105613-T,219.30
444,2022-01-03,850,105325-IT,1717.70
445,2022-01-03,850,105614-A,20.36
446,2022-01-03,851,105335-IT,1257.12
447,2022-01-03,852,105615-B,28.92
448,2022-01-03,853,105424-T,192.26
449,2022-01-03,866,105323-IT,28.69
450,2022-01-03,866,105546-T,212.32
451,2022-01-03,866,105547-A,24.00
452,2022-01-03,867,105548-M,6.00
453,2022-01-03,868,105261-IT,622.32
454,2022-01-03,869,105307-IT,75.88
455,2022-01-03,869,105426-M,10.10
456,2022-01-03,870,105549-S,4.32
457,2022-01-03,870,105550-B,17.70
458,2022-01-03,872,105551-T,188.12
459,2022-01-03,901,105449-A,24.20
460,2022-01-03,902,105302-IT,77.36
461,2022-01-03,903,105616-S,19.36
462,2022-01-03,903,105448-M,6.00
463,2022-01-03,905,105298-IT,102.09
464,2022-01-03,905,105525-T,204.58
465,2022-01-03,905,105617-M,57.70
466,2022-01-03,905,105618-M,27.61
467,2022-01-03,905,105577-T,215.77
468,2022-01-03,907,105250-IT,837.28
469,2022-01-03,908,105287-IT,126.18
470,2022-01-04,701,105320-IT,30.16
471,2022-01-04,701,105296-IT,107.06
472,2022-01-04,702,105268-IT,346.68
473,2022-01-04,702,105402-S,2.40
474,2022-01-04,703,105293-IT,113.43
475,2022-01-04,705,105619-T,144.00
476,2022-01-04,705,105620-M,24.28
477,2022-01-04,707,105462-IT,109.22
478,2022-01-04,709,105324-IT,1294.30
479,2022-01-04,709,105303-IT,76.86
480,2022-01-04,709,105385-M,27.52
481,2022-01-04,710,105474-A,6.00
482,2022-01-04,711,105616-S,19.36
483,2022-01-04,712,105621-T,241.40
484,2022-01-04,712,105622-T,52.90
485,2022-01-04,714,105465-A,23.44
486,2022-01-04,715,105623-A,50.96
487,2022-01-04,716,105528-A,24.28
488,2022-01-04,718,105454-M,14.00
489,2022-01-04,718,105384-A,23.44
490,2022-01-04,719,105557-S,6.85
491,2022-01-04,720,105261-IT,622.32
492,2022-01-04,720,105609-S,20.36
493,2022-01-04,722,105602-S,8.45
494,2022-01-04,724,105298-IT,102.09
495,2022-01-04,724,105625-M,51.96
496,2022-01-04,725,105595-S,12.40
497,2022-01-04,726,105626-S,6.02
498,2022-01-04,728,105627-S,2.88
499,2022-01-04,729,105484-A,28.92
500,2022-01-04,730,105340-IT,1291.71
501,2022-01-04,731,105405-M,61.14
502,2022-01-04,732,105620-M,24.28
503,2022-01-04,733,105606-M,27.52
504,2022-01-04,733,105628-M,24.28
505,2022-01-04,734,105627-S,2.88
506,2022-01-04,736,105333-IT,1292.00
507,2022-01-04,736,105300-IT,77.81
508,2022-01-04,736,105313-IT,68.88
509,2022-01-04,736,105343-IT,1257.12
510,2022-01-04,736,105273-IT,303.52
511,2022-01-04,736,105540-IT,69.11
512,2022-01-04,736,105302-IT,77.36
513,2022-01-04,736,105308-IT,75.42
514,2022-01-04,736,105629-B,15.24
515,2022-01-04,736,105422-T,116.20
516,2022-01-04,736,105630-B,40.36
517,2022-01-04,736,105631-A,6.00
518,2022-01-04,736,105632-T,217.34
519,2022-01-04,736,105535-A,66.00
520,2022-01-04,736,105633-B,24.20
521,2022-01-04,736,105359-B,23.44
522,2022-01-04,736,105634-B,24.28
523,2022-01-04,736,105635-T,209.24
524,2022-01-04,736,105636-S,12.32
525,2022-01-04,736,105486-S,19.36
526,2022-01-04,736,105400-B,76.40
527,2022-01-04,736,105564-S,12.12
528,2022-01-04,736,105425-M,66.00
529,2022-01-04,736,105570-M,36.15
530,2022-01-04,736,105637-M,57.70
531,2022-01-04,736,105638-M,12.15
532,2022-01-04,736,105431-M,24.28
533,2022-01-04,736,105448-M,6.00
534,2022-01-04,736,105639-M,39.75
535,2022-01-04,736,105407-T,223.80
536,2022-01-04,736,105572-B,24.28
537,2022-01-04,736,105537-B,24.28
538,2022-01-04,736,105501-A,52.40
539,2022-01-04,736,105369-T,228.30
540,2022-01-04,736,105640-S,13.13
541,2022-01-04,736,105481-T,74.50
542,2022-01-04,736,105641-A,26.52
543,2022-01-04,736,105642-B,20.32
544,2022-01-04,736,105643-A,12.00
545,2022-01-04,737,105590-T,187.44
546,2022-01-04,739,105522-A,7.00
547,2022-01-04,739,105365-T,221.48
548,2022-01-04,801,105517-S,7.85
549,2022-01-04,804,105577-T,215.77
550,2022-01-04,804,105413-A,57.70
551,2022-01-04,804,105644-A,16.60
552,2022-01-04,805,105415-A,61.14
553,2022-01-04,806,105645-B,27.52
554,2022-01-04,807,105279-IT,272.24
555,2022-01-04,807,105646-M,57.70
556,2022-01-04,808,105305-IT,76.36
557,2022-01-04,808,105587-S,6.02
558,2022-01-04,809,105457-IT,29.81
559,2022-01-04,810,105450-T,226.79
560,2022-01-04,811,105253-IT,801.88
561,2022-01-04,811,105459-IT,393.21
562,2022-01-04,811,105486-S,19.36
563,2022-01-04,813,105647-B,17.70
564,2022-01-04,814,105338-IT,1317.70
565,2022-01-04,814,105553-T,134.80
566,2022-01-04,815,105323-IT,28.69
567,2022-01-04,815,105648-B,26.40
568,2022-01-04,817,105560-M,8.00
569,2022-01-04,819,105513-A,57.12
570,2022-01-04,822,105649-A,57.12
571,2022-01-04,825,105280-IT,254.90
572,2022-01-04,826,105468-S,17.70
573,2022-01-04,827,105278-IT,272.24
574,2022-01-04,828,105440-M,57.70
575,2022-01-04,828,105570-M,36.15
576,2022-01-04,828,105588-S,9.45
577,2022-01-04,829,105622-T,52.90
578,2022-01-04,831,105650-M,65.50
579,2022-01-04,832,105636-S,12.32
580,2022-01-04,833,105267-IT,355.92
581,2022-01-04,834,105622-T,52.90
582,2022-01-04,836,105651-S,9.09
583,2022-01-04,836,105511-M,24.33
584,2022-01-04,838,105331-IT,1294.30
585,2022-01-04,841,105626-S,6.02
586,2022-01-04,842,105652-S,10.16
587,2022-01-04,844,105653-M,11.00
588,2022-01-04,845,105265-IT,375.24
589,2022-01-04,847,105394-A,50.96
590,2022-01-04,847,105654-T,152.40
591,2022-01-04,847,105496-M,28.92
592,2022-01-04,848,105252-IT,815.00
593,2022-01-04,850,105545-T,157.28
594,2022-01-04,852,105320-IT,30.16
595,2022-01-04,852,105655-M,61.14
596,2022-01-04,865,105339-IT,1161.14
597,2022-01-04,867,105624-M,57.12
598,2022-01-04,868,105462-IT,109.22
599,2022-01-04,868,105554-T,232.40
600,2022-01-04,871,105326-IT,1717.70
601,2022-01-04,903,105616-S,19.36
602,2022-01-04,903,105518-M,20.36
603,2022-01-04,904,105631-A,6.00
604,2022-01-04,904,105656-S,12.70
605,2022-01-04,905,105269-IT,343.97
606,2022-01-04,905,105454-M,14.00
607,2022-01-04,906,105657-T,145.97
608,2022-01-04,906,105565-T,182.25
609,2022-01-04,906,105358-A,14.00
610,2022-01-04,907,105452-M,28.00
611,2022-01-04,908,105310-IT,71.74
612,2022-01-04,908,105254-IT,798.80
613,2022-01-04,909,105519-A,44.50
614,2022-01-04,910,105575-T,165.50
615,2022-01-04,910,105658-B,20.36
616,2022-01-05,701,105659-A,48.00
617,2022-01-05,701,105524-M,44.00
618,2022-01-05,702,105568-M,24.00
619,2022-01-05,703,105457-IT,29.81
620,2022-01-05,704,105414-S,6.02
621,2022-01-05,705,105653-M,11.00
622,2022-01-05,705,105660-A,47.61
623,2022-01-05,706,105570-M,36.15
624,2022-01-05,709,105661-T,111.90
625,2022-01-05,709,105662-T,132.30
626,2022-01-05,710,105463-IT,265.07
627,2022-01-05,711,105435-A,18.00
628,2022-01-05,715,105354-T,133.10
629,2022-01-05,715,105663-M,52.96
630,2022-01-05,716,105290-IT,114.71
631,2022-01-05,717,105407-T,223.80
632,2022-01-05,719,105666-A,27.61
633,2022-01-05,720,105667-M,7.00
634,2022-01-05,721,105298-IT,102.09
635,2022-01-05,721,105549-S,4.32
636,2022-01-05,721,105668-S,7.85
637,2022-01-05,722,105669-M,12.00
638,2022-01-05,723,105312-IT,68.88
639,2022-01-05,723,105670-M,20.36
640,2022-01-05,724,105671-B,20.36
641,2022-01-05,727,105672-B,26.52
642,2022-01-05,728,105261-IT,622.32
643,2022-01-05,729,105672-B,26.52
644,2022-01-05,730,105492-S,17.70
645,2022-01-05,731,105270-IT,336.48
646,2022-01-05,731,105462-IT,109.22
647,2022-01-05,731,105259-IT,698.80
648,2022-01-05,734,105254-IT,798.80
649,2022-01-05,735,105296-IT,107.06
650,2022-01-05,735,105610-A,10.10
651,2022-01-05,736,105291-IT,114.71
652,2022-01-05,736,105262-IT,603.50
653,2022-01-05,736,105297-IT,107.06
654,2022-01-05,736,105328-IT,1250.96
655,2022-01-05,736,105459-IT,393.21
656,2022-01-05,736,105313-IT,68.88
657,2022-01-05,736,105280-IT,254.90
658,2022-01-05,736,105250-IT,837.28
659,2022-01-05,736,105294-IT,108.33
660,2022-01-05,736,105422-T,116.20
661,2022-01-05,736,105673-T,232.40
662,2022-01-05,736,105562-B,25.45
663,2022-01-05,736,105492-S,17.70
664,2022-01-05,736,105484-A,28.92
665,2022-01-05,736,105631-A,6.00
666,2022-01-05,736,105674-T,193.25
667,2022-01-05,736,105478-B,17.70
668,2022-01-05,736,105675-B,28.92
669,2022-01-05,736,105349-M,8.00
670,2022-01-05,736,105499-M,12.30
671,2022-01-05,736,105607-M,12.30
672,2022-01-05,736,105511-M,24.33
673,2022-01-05,736,105558-M,8.00
674,2022-01-05,736,105676-A,6.00
675,2022-01-05,736,105485-T,205.80
676,2022-01-05,736,105677-A,61.14
677,2022-01-05,736,105561-S,20.36
678,2022-01-05,736,105678-A,12.30
679,2022-01-05,736,105451-S,6.52
680,2022-01-05,736,105679-T,134.80
681,2022-01-05,736,105358-A,14.00
682,2022-01-05,736,105680-B,50.36
683,2022-01-05,736,105501-A,52.40
684,2022-01-05,736,105593-S,20.36
685,2022-01-05,736,105409-A,36.15
686,2022-01-05,736,105412-S,9.45
687,2022-01-05,736,105579-B,74.28
