id,Date,ProdNum,SalesTotal,ShiptoState
232,2022-01-03,105820-B,168.48,Washington
233,2022-01-03,105732-B,81.44,Texas
234,2022-01-03,105250-IT,6698.24,Washington
235,2022-01-03,105608-A,12.15,California
236,2022-01-03,105472-S,48.16,Oregon
237,2022-01-03,105639-M,198.75,California
238,2022-01-03,105472-S,42.14,Washington
239,2022-01-03,105648-B,132.00,Ohio
240,2022-01-03,105713-S,74.40,Washington
241,2022-01-04,105283-IT,1898.24,California
242,2022-01-04,105652-S,60.96,California
243,2022-01-04,105799-S,2.40,California
244,2022-01-04,105783-B,234.40,California
245,2022-01-04,105567-B,106.08,California
246,2022-01-04,105313-IT,413.28,California
247,2022-01-04,105498-M,119.16,California
248,2022-01-04,105727-M,203.84,California
249,2022-01-04,105751-M,53.04,California
250,2022-01-04,105375-S,54.80,California
251,2022-01-04,105451-S,52.16,California
252,2022-01-04,105593-S,81.44,California
253,2022-01-04,105786-A,99.30,California
254,2022-01-04,105610-A,50.50,"New York"
255,2022-01-04,105777-A,244.56,Oregon
256,2022-01-04,105264-IT,1897.00,Oregon
257,2022-01-04,105713-S,37.20,Oregon
258,2022-01-04,105267-IT,1779.60,Oregon
259,2022-01-04,105703-B,88.50,Oregon
260,2022-01-04,105598-T,206.16,Oregon
261,2022-01-04,105691-M,198.75,Oregon
262,2022-01-04,105771-B,117.20,Oregon
263,2022-01-04,105432-S,36.12,Oregon
264,2022-01-04,105828-B,122.16,Oregon
265,2022-01-04,105257-IT,3575.00,Texas
266,2022-01-04,105557-S,47.95,Washington
267,2022-01-04,105397-S,5.24,Washington
268,2022-01-04,105636-S,12.32,Washington
269,2022-01-04,105832-S,114.56,Washington
270,2022-01-04,105762-B,471.36,Washington
271,2022-01-04,105653-M,33.00,Washington
272,2022-01-04,105443-M,36.36,Washington
273,2022-01-04,105655-M,61.14,Washington
274,2022-01-04,105341-IT,8818.50,Washington
275,2022-01-04,105334-IT,10203.52,Washington
276,2022-01-04,105591-S,49.75,Washington
277,2022-01-04,105374-B,122.16,Washington
278,2022-01-04,105742-B,178.15,Washington
279,2022-01-04,105257-IT,5720.00,California
280,2022-01-04,105755-A,173.10,Washington
281,2022-01-04,105355-B,97.12,California
282,2022-01-04,105596-S,25.76,Washington
283,2022-01-04,105589-M,117.20,California
284,2022-01-04,105366-T,213.82,Minnesota
285,2022-01-04,105656-S,12.70,Washington
286,2022-01-04,105367-M,52.40,California
287,2022-01-04,105359-B,117.20,Illinois
288,2022-01-04,105482-T,1207.00,Illinois
289,2022-01-04,105683-B,27.52,Oregon
290,2022-01-04,105705-S,122.16,California
291,2022-01-04,105327-IT,5028.48,California
292,2022-01-04,105705-S,101.80,Oregon
293,2022-01-04,105366-T,1496.74,Wyoming
294,2022-01-04,105381-M,110.00,Washington
295,2022-01-04,105307-IT,379.40,Washington
296,2022-01-04,105416-B,26.26,Washington
297,2022-01-04,105579-B,297.12,California
298,2022-01-04,105707-S,20.96,Washington
299,2022-01-04,105465-A,187.52,California
300,2022-01-04,105600-S,79.60,Oregon
301,2022-01-04,105660-A,95.22,Oregon
302,2022-01-04,105612-B,519.96,Washington
303,2022-01-04,105249-IT,852.94,California
304,2022-01-04,105701-M,145.98,Illinois
305,2022-01-04,105567-B,185.64,Washington
306,2022-01-04,105799-S,14.40,Oregon
307,2022-01-04,105396-S,141.60,Washington
308,2022-01-04,105784-B,40.72,Oregon
309,2022-01-04,105607-M,12.30,Washington
310,2022-01-04,105396-S,17.70,California
311,2022-01-04,105446-B,76.20,Texas
312,2022-01-04,105256-IT,3764.10,Washington
313,2022-01-04,105786-A,66.20,Washington
314,2022-01-04,105692-S,40.64,California
315,2022-01-04,105355-B,194.24,Oregon
316,2022-01-04,105778-A,277.12,"South Carolina"
317,2022-01-04,105832-S,28.64,Texas
318,2022-01-04,105607-M,36.90,California
319,2022-01-04,105415-A,489.12,California
320,2022-01-04,105314-IT,551.04,Washington
321,2022-01-04,105626-S,6.02,Oregon
322,2022-01-04,105792-S,65.65,Oregon
323,2022-01-04,105598-T,618.48,"New York"
324,2022-01-04,105612-B,148.56,Oregon
325,2022-01-04,105610-A,20.20,California
326,2022-01-05,105672-B,159.12,California
327,2022-01-05,105333-IT,7752.00,California
328,2022-01-05,105713-S,12.40,California
329,2022-01-05,105703-B,141.60,California
330,2022-01-05,105351-M,132.00,California
331,2022-01-05,105589-M,117.20,California
332,2022-01-05,105464-M,91.00,California
333,2022-01-05,105358-A,56.00,California
334,2022-01-05,105409-A,253.05,California
335,2022-01-05,105648-B,184.80,California
336,2022-01-05,105416-B,105.04,California
337,2022-01-05,105517-S,54.95,California
338,2022-01-05,105363-M,97.40,Illinois
339,2022-01-05,105566-A,158.88,Minnesota
340,2022-01-05,105366-T,213.82,Minnesota
341,2022-01-05,105665-T,1085.00,"New York"
342,2022-01-05,105493-B,1578.15,Ohio
343,2022-01-05,105362-B,88.50,Oregon
344,2022-01-05,105556-A,278.25,Oregon
345,2022-01-05,105438-A,202.44,Oregon
346,2022-01-05,105522-A,28.00,Oregon
347,2022-01-05,105321-IT,57.76,Oregon
348,2022-01-05,105275-IT,1483.00,Oregon
349,2022-01-05,105592-M,79.56,Oregon
350,2022-01-05,105570-M,216.90,Oregon
351,2022-01-05,105725-M,46.88,Oregon
352,2022-01-05,105529-M,83.00,Oregon
353,2022-01-05,105639-M,119.25,Oregon
354,2022-01-05,105572-B,145.68,Oregon
355,2022-01-05,105500-S,81.44,Oregon
356,2022-01-05,105449-A,72.60,Oregon
357,2022-01-05,105739-A,48.00,Oregon
358,2022-01-05,105415-A,427.98,Oregon
359,2022-01-05,105446-B,76.20,Oregon
360,2022-01-05,105831-B,142.52,Oregon
361,2022-01-05,105781-B,121.00,Washington
362,2022-01-05,105395-B,122.16,Washington
363,2022-01-05,105496-M,173.52,Washington
364,2022-01-05,105386-M,200.00,Washington
365,2022-01-05,105473-M,12.00,Washington
366,2022-01-05,105613-T,438.60,Washington
367,2022-01-05,105792-S,65.65,Washington
368,2022-01-05,105656-S,12.70,Washington
369,2022-01-05,105877-B,40.72,Washington
370,2022-01-05,105835-B,77.44,Washington
371,2022-01-05,105482-T,1931.20,Florida
372,2022-01-05,105406-M,114.24,Washington
373,2022-01-05,105828-B,122.16,Oregon
374,2022-01-05,105653-M,33.00,Washington
375,2022-01-05,105443-M,36.36,Washington
376,2022-01-05,105334-IT,10203.52,Washington
377,2022-01-05,105377-A,40.00,California
378,2022-01-05,105292-IT,569.10,California
379,2022-01-05,105660-A,142.83,California
380,2022-01-05,105747-M,129.90,Oregon
381,2022-01-05,105407-T,447.60,California
382,2022-01-05,105500-S,162.88,California
383,2022-01-05,105386-M,75.00,Minnesota
384,2022-01-05,105837-S,74.40,Oregon
385,2022-01-05,105479-A,122.16,California
386,2022-01-05,105798-B,30.48,Oregon
387,2022-01-05,105367-M,157.20,Oregon
388,2022-01-05,105808-M,26.52,Washington
389,2022-01-05,105604-T,977.68,California
390,2022-01-05,105550-B,88.50,Oregon
391,2022-01-05,105406-M,285.60,California
392,2022-01-05,105628-M,24.28,Oregon
393,2022-01-05,105566-A,317.76,Wyoming
394,2022-01-05,105404-M,19.48,Oregon
395,2022-01-05,105624-M,114.24,Oregon
396,2022-01-05,105502-B,117.20,Oregon
397,2022-01-05,105472-S,30.10,California
398,2022-01-05,105334-IT,3826.32,Oregon
399,2022-01-05,105518-M,122.16,Oregon
400,2022-01-05,105303-IT,461.16,Washington
401,2022-01-05,105665-T,155.00,Wyoming
402,2022-01-05,105395-B,81.44,California
403,2022-01-05,105335-IT,3771.36,California
404,2022-01-05,105524-M,88.00,California
405,2022-01-05,105627-S,20.16,Oregon
406,2022-01-05,105384-A,140.64,Illinois
407,2022-01-05,105780-B,50.90,California
408,2022-01-05,105428-M,65.50,California
409,2022-01-05,105434-S,8.64,Washington
410,2022-01-06,105253-IT,3207.52,California
411,2022-01-06,105318-IT,153.10,California
412,2022-01-06,105707-S,10.48,California
413,2022-01-06,105377-A,40.00,California
414,2022-01-06,105292-IT,569.10,California
415,2022-01-06,105330-IT,11011.52,California
416,2022-01-06,105386-M,75.00,California
417,2022-01-06,105367-M,52.40,California
418,2022-01-06,105480-M,12.00,California
419,2022-01-06,105617-M,403.90,California
420,2022-01-06,105363-M,97.40,California
421,2022-01-06,105485-T,205.80,California
422,2022-01-06,105867-B,40.72,California
423,2022-01-06,105434-S,17.28,California
424,2022-01-06,105250-IT,4186.40,California
425,2022-01-06,105269-IT,1719.85,California
426,2022-01-06,105784-B,81.44,California
427,2022-01-06,105531-A,173.10,California
428,2022-01-06,105647-B,123.90,California
429,2022-01-06,105359-B,117.20,Illinois
430,2022-01-06,105482-T,1207.00,Illinois
431,2022-01-06,105482-T,241.40,Kentucky
432,2022-01-06,105469-M,43.80,Ohio
433,2022-01-06,105333-IT,2584.00,Oregon
434,2022-01-06,105400-B,305.60,Oregon
435,2022-01-06,105351-M,352.00,Oregon
436,2022-01-06,105349-M,40.00,Oregon
437,2022-01-06,105464-M,65.00,Oregon
438,2022-01-06,105683-B,27.52,Oregon
439,2022-01-06,105482-T,1931.20,Texas
440,2022-01-06,105366-T,1282.92,Texas
441,2022-01-06,105665-T,1240.00,Texas
442,2022-01-06,105253-IT,4009.40,Washington
443,2022-01-06,105316-IT,66.26,Washington
444,2022-01-06,105614-A,122.16,Washington
445,2022-01-06,105354-T,665.50,Washington
446,2022-01-06,105819-B,164.08,Washington
447,2022-01-06,105394-A,203.84,Washington
448,2022-01-06,105598-T,618.48,Washington
449,2022-01-06,105498-M,278.04,Washington
450,2022-01-06,105431-M,145.68,Washington
451,2022-01-06,105620-M,48.56,Washington
452,2022-01-06,105660-A,333.27,Washington
453,2022-01-06,105252-IT,2445.00,Washington
454,2022-01-06,105500-S,20.36,Washington
455,2022-01-06,105867-B,142.52,Washington
456,2022-01-06,105623-A,152.88,Washington
457,2022-01-06,105809-S,29.85,Washington
458,2022-01-06,105319-IT,60.32,Washington
459,2022-01-06,105449-A,145.20,Washington
460,2022-01-06,105584-B,145.68,Washington
461,2022-01-06,105570-M,180.75,Wyoming
462,2022-01-06,105446-B,50.80,Wyoming
463,2022-01-06,105482-T,1931.20,"New York"
464,2022-01-06,105300-IT,622.48,California
465,2022-01-06,105324-IT,10354.40,California
466,2022-01-06,105771-B,140.64,California
467,2022-01-06,105465-A,117.20,Oregon
468,2022-01-06,105576-S,12.00,Oregon
469,2022-01-06,105799-S,2.40,California
470,2022-01-06,105713-S,12.40,California
471,2022-01-06,105746-B,132.60,California
472,2022-01-06,105710-A,36.36,California
473,2022-01-06,105262-IT,3017.50,Oregon
474,2022-01-06,105788-A,342.72,Washington
475,2022-01-06,105442-A,318.50,Oregon
476,2022-01-06,105665-T,930.00,Washington
477,2022-01-06,105269-IT,343.97,Washington
478,2022-01-06,105543-S,5.76,California
479,2022-01-06,105262-IT,1207.00,Minnesota
480,2022-01-06,105471-S,39.25,California
481,2022-01-06,105711-B,121.40,Oregon
482,2022-01-06,105252-IT,4075.00,Oregon
483,2022-01-06,105665-T,930.00,Ohio
484,2022-01-06,105350-T,720.00,Washington
485,2022-01-06,105637-M,346.20,Washington
486,2022-01-06,105648-B,105.60,Washington
487,2022-01-06,105680-B,302.16,Oregon
488,2022-01-06,105404-M,116.88,Washington
489,2022-01-06,105484-A,115.68,California
490,2022-01-06,105274-IT,296.60,California
491,2022-01-06,105376-M,267.00,Oregon
492,2022-01-06,105409-A,72.30,Ohio
493,2022-01-06,105359-B,46.88,California
494,2022-01-06,105493-B,225.45,California
495,2022-01-06,105514-T,1319.40,Virginia
496,2022-01-06,105526-S,19.36,Washington
497,2022-01-06,105656-S,38.10,Oregon
498,2022-01-06,105388-B,246.80,Washington
499,2022-01-06,105405-M,183.42,Washington
500,2022-01-06,105292-IT,113.82,Oregon
501,2022-01-06,105556-A,79.50,Washington
502,2022-01-06,105453-T,319.16,California
503,2022-01-06,105257-IT,2145.00,Kentucky
504,2022-01-06,105482-T,241.40,Missouri
505,2022-01-06,105514-T,2111.04,Massachusetts
506,2022-01-06,105446-B,101.60,"New York"
507,2022-01-06,105374-B,81.44,Oregon
508,2022-01-06,105783-B,234.40,Washington
509,2022-01-06,105432-S,42.14,Washington
510,2022-01-06,105410-B,101.80,Washington
511,2022-01-06,105381-M,275.00,Oregon
512,2022-01-07,105746-B,132.60,California
513,2022-01-07,105659-A,192.00,California
514,2022-01-07,105705-S,122.16,California
515,2022-01-07,105710-A,36.36,California
516,2022-01-07,105327-IT,5028.48,California
517,2022-01-07,105653-M,22.00,California
518,2022-01-07,105660-A,142.83,California
519,2022-01-07,105575-T,993.00,California
520,2022-01-07,105273-IT,607.04,California
521,2022-01-07,105717-B,40.72,California
522,2022-01-07,105550-B,123.90,California
523,2022-01-07,105584-B,145.68,California
524,2022-01-07,105665-T,1085.00,Kentucky
525,2022-01-07,105388-B,148.08,Oregon
526,2022-01-07,105262-IT,3017.50,Oregon
527,2022-01-07,105596-S,38.64,Oregon
528,2022-01-07,105705-S,101.80,Oregon
529,2022-01-07,105395-B,40.72,Oregon
530,2022-01-07,105493-B,1127.25,Oregon
531,2022-01-07,105878-S,52.52,Oregon
532,2022-01-07,105251-IT,5792.15,Oregon
533,2022-01-07,105734-M,114.24,Oregon
534,2022-01-07,105747-M,129.90,Oregon
535,2022-01-07,105453-T,159.58,Oregon
536,2022-01-07,105737-T,691.68,Oregon
537,2022-01-07,105593-S,142.52,Oregon
538,2022-01-07,105436-S,30.24,Oregon
539,2022-01-07,105649-A,342.72,Oregon
540,2022-01-07,105579-B,594.24,Oregon
541,2022-01-07,105717-B,142.52,Oregon
542,2022-01-07,105331-IT,3882.90,Washington
543,2022-01-07,105696-S,63.50,Washington
544,2022-01-07,105321-IT,202.16,Washington
545,2022-01-07,105337-IT,5207.52,Washington
546,2022-01-07,105495-A,91.00,Washington
547,2022-01-07,105425-M,396.00,Washington
548,2022-01-07,105349-M,40.00,Washington
549,2022-01-07,105753-M,509.60,Washington
550,2022-01-07,105722-S,12.12,Washington
551,2022-01-07,105677-A,366.84,Washington
552,2022-01-07,105353-A,142.52,Washington
553,2022-01-07,105821-S,7.20,Washington
554,2022-01-07,105543-S,17.28,Washington
555,2022-01-07,105880-B,101.80,Washington
556,2022-01-07,105599-S,50.16,Washington
557,2022-01-07,105600-S,39.80,Washington
558,2022-01-07,105277-IT,2177.92,Washington
559,2022-01-07,105482-T,482.80,Wyoming
560,2022-01-07,105366-T,1496.74,Wyoming
561,2022-01-07,105352-M,190.44,California
562,2022-01-07,105341-IT,8818.50,California
563,2022-01-07,105588-S,56.70,Illinois
564,2022-01-07,105712-S,12.04,Washington
565,2022-01-07,105559-S,50.80,Oregon
566,2022-01-07,105529-M,16.60,Washington
567,2022-01-07,105432-S,36.12,Oregon
568,2022-01-07,105672-B,159.12,California
569,2022-01-07,105665-T,1240.00,Texas
570,2022-01-07,105251-IT,3309.80,Illinois
571,2022-01-07,105739-A,12.00,Washington
572,2022-01-07,105413-A,115.40,California
573,2022-01-07,105665-T,1085.00,Minnesota
574,2022-01-07,105358-A,112.00,Oregon
575,2022-01-07,105581-B,25.40,Oregon
576,2022-01-07,105855-A,65.50,Oregon
577,2022-01-07,105464-M,78.00,Washington
578,2022-01-07,105784-B,162.88,Washington
579,2022-01-07,105322-IT,28.69,Washington
580,2022-01-07,105354-T,133.10,California
581,2022-01-07,105324-IT,3882.90,Washington
582,2022-01-07,105440-M,288.50,Oregon
583,2022-01-07,105638-M,72.90,Oregon
584,2022-01-07,105734-M,57.12,Washington
585,2022-01-07,105711-B,121.40,California
586,2022-01-07,105793-B,77.44,Illinois
587,2022-01-07,105639-M,198.75,Washington
588,2022-01-07,105879-B,127.25,Oregon
589,2022-01-07,105364-S,88.50,Oregon
590,2022-01-07,105425-M,330.00,California
591,2022-01-07,105315-IT,241.01,Georgia
592,2022-01-07,105467-S,6.02,Oregon
593,2022-01-07,105882-B,79.56,Washington
594,2022-01-07,105618-M,193.27,Washington
595,2022-01-07,105855-A,524.00,California
596,2022-01-07,105842-B,60.96,California
597,2022-01-07,105585-B,148.56,"South Carolina"
598,2022-01-07,105794-S,19.20,California
599,2022-01-07,105425-M,330.00,Oregon
600,2022-01-08,105260-IT,1305.80,California
601,2022-01-08,105488-T,328.40,California
602,2022-01-08,105389-S,74.40,California
603,2022-01-08,105778-A,138.56,California
604,2022-01-08,105619-T,432.00,California
605,2022-01-08,105442-A,191.10,California
606,2022-01-08,105762-B,235.68,California
607,2022-01-08,105555-M,66.20,California
608,2022-01-08,105381-M,55.00,California
609,2022-01-08,105407-T,447.60,California
610,2022-01-08,105500-S,162.88,California
611,2022-01-08,105836-A,115.40,California
612,2022-01-08,105309-IT,377.10,California
613,2022-01-08,105742-B,76.35,California
614,2022-01-08,105482-T,1689.80,Georgia
615,2022-01-08,105251-IT,3309.80,Illinois
616,2022-01-08,105570-M,36.15,Illinois
617,2022-01-08,105721-B,146.50,Illinois
618,2022-01-08,105386-M,75.00,Minnesota
619,2022-01-08,105408-S,8.64,"New York"
620,2022-01-08,105672-B,26.52,Oregon
621,2022-01-08,105258-IT,701.88,Oregon
622,2022-01-08,105316-IT,265.04,Oregon
623,2022-01-08,105263-IT,2276.40,Oregon
624,2022-01-08,105398-A,211.84,Oregon
625,2022-01-08,105615-B,202.44,Oregon
626,2022-01-08,105866-B,82.56,Oregon
627,2022-01-08,105314-IT,275.52,Oregon
628,2022-01-08,105511-M,145.98,Oregon
629,2022-01-08,105623-A,305.76,Oregon
630,2022-01-08,105257-IT,2145.00,Oregon
631,2022-01-08,105309-IT,603.36,Oregon
